"N"	"P"	"Corr"	"Ratio"	"Stab"	"ROC"	"FP"	"FN"	"num_select"	"FDR"	"ROC_mean"	"FP_mean"	"FN_mean"	"method"
50	50	0.1	1	0.03	"0.59 ( 0.01 )"	"2.69 ( 0.14 )"	"5.3 ( 0.07 )"	2.39	0.67	0.59	2.69	5.3	"lasso"
100	50	0.1	0.5	0.11	"0.56 ( 0.01 )"	"2.02 ( 0.15 )"	"5.02 ( 0.08 )"	2	0.39	0.56	2.02	5.02	"lasso"
500	50	0.1	0.1	0.28	"0.63 ( 0 )"	"4.52 ( 0.29 )"	"3 ( 0.11 )"	6.52	0.45	0.63	4.52	3	"lasso"
1000	50	0.1	0.05	0.39	"0.64 ( 0 )"	"4.74 ( 0.22 )"	"2.1 ( 0.09 )"	7.64	0.44	0.64	4.74	2.1	"lasso"
50	100	0.1	2	0.02	"0.62 ( 0.01 )"	"3.82 ( 0.16 )"	"5.34 ( 0.07 )"	3.48	0.78	0.62	3.82	5.34	"lasso"
100	100	0.1	1	0.07	"0.56 ( 0.01 )"	"2.29 ( 0.19 )"	"5.27 ( 0.08 )"	2.02	0.57	0.56	2.29	5.27	"lasso"
500	100	0.1	0.2	0.23	"0.61 ( 0 )"	"5.54 ( 0.52 )"	"3.27 ( 0.12 )"	7.27	0.47	0.61	5.54	3.27	"lasso"
1000	100	0.1	0.1	0.27	"0.64 ( 0 )"	"7.69 ( 0.42 )"	"2.25 ( 0.1 )"	10.44	0.56	0.64	7.69	2.25	"lasso"
50	500	0.1	10	0.01	"0.6 ( 0.01 )"	"8.69 ( 0.24 )"	"5.55 ( 0.06 )"	8.14	0.94	0.6	8.69	5.55	"lasso"
100	500	0.1	5	0.03	"0.56 ( 0.01 )"	"4.39 ( 0.34 )"	"5.4 ( 0.07 )"	3.99	0.82	0.56	4.39	5.4	"lasso"
500	500	0.1	1	0.27	"0.61 ( 0.01 )"	"3.84 ( 0.28 )"	"3.93 ( 0.08 )"	4.91	0.47	0.61	3.84	3.93	"lasso"
1000	500	0.1	0.5	0.2	"0.63 ( 0 )"	"9.87 ( 1.4 )"	"3.18 ( 0.09 )"	11.69	0.49	0.63	9.87	3.18	"lasso"
50	1000	0.1	20	0	"0.62 ( 0.01 )"	"10.42 ( 0.22 )"	"5.56 ( 0.06 )"	9.86	0.95	0.62	10.42	5.56	"lasso"
100	1000	0.1	10	0.01	"0.56 ( 0.01 )"	"5.93 ( 0.28 )"	"5.53 ( 0.06 )"	5.4	0.9	0.56	5.93	5.53	"lasso"
500	1000	0.1	2	0.24	"0.62 ( 0.01 )"	"4.22 ( 0.48 )"	"4.05 ( 0.09 )"	5.17	0.46	0.62	4.22	4.05	"lasso"
1000	1000	0.1	1	0.33	"0.63 ( 0 )"	"5.03 ( 0.78 )"	"3.35 ( 0.06 )"	6.68	0.42	0.63	5.03	3.35	"lasso"
50	50	0.3	1	0.17	"0.65 ( 0.01 )"	"3.87 ( 0.23 )"	"3.68 ( 0.12 )"	5.19	0.5	0.65	3.87	3.68	"lasso"
100	50	0.3	0.5	0.32	"0.78 ( 0.01 )"	"6.48 ( 0.32 )"	"1.13 ( 0.11 )"	10.35	0.49	0.78	6.48	1.13	"lasso"
500	50	0.3	0.1	0.44	"0.85 ( 0 )"	"6.84 ( 0.26 )"	"0 ( 0 )"	11.84	0.47	0.85	6.84	0	"lasso"
1000	50	0.3	0.05	0.65	"0.86 ( 0 )"	"3.69 ( 0.19 )"	"0 ( 0 )"	8.69	0.28	0.86	3.69	0	"lasso"
50	100	0.3	2	0.14	"0.63 ( 0.01 )"	"5.12 ( 0.25 )"	"3.91 ( 0.1 )"	6.21	0.63	0.63	5.12	3.91	"lasso"
100	100	0.3	1	0.26	"0.74 ( 0.01 )"	"7.62 ( 0.48 )"	"1.8 ( 0.12 )"	10.82	0.53	0.74	7.62	1.8	"lasso"
500	100	0.3	0.2	0.36	"0.86 ( 0 )"	"10.19 ( 0.4 )"	"0 ( 0 )"	15.19	0.57	0.86	10.19	0	"lasso"
1000	100	0.3	0.1	0.52	"0.86 ( 0 )"	"6 ( 0.27 )"	"0 ( 0 )"	11	0.42	0.86	6	0	"lasso"
50	500	0.3	10	0.03	"0.61 ( 0.01 )"	"10.46 ( 0.31 )"	"4.69 ( 0.08 )"	10.77	0.87	0.61	10.46	4.69	"lasso"
100	500	0.3	5	0.17	"0.66 ( 0.01 )"	"8.6 ( 0.65 )"	"3.19 ( 0.12 )"	10.41	0.64	0.66	8.6	3.19	"lasso"
500	500	0.3	1	0.19	"0.85 ( 0 )"	"25.12 ( 1.08 )"	"0 ( 0 )"	30.12	0.77	0.85	25.12	0	"lasso"
1000	500	0.3	0.5	0.25	"0.86 ( 0 )"	"18.48 ( 0.73 )"	"0 ( 0 )"	23.48	0.72	0.86	18.48	0	"lasso"
50	1000	0.3	20	0.02	"0.6 ( 0.01 )"	"12.08 ( 0.26 )"	"4.97 ( 0.08 )"	12.11	0.91	0.6	12.08	4.97	"lasso"
100	1000	0.3	10	0.13	"0.65 ( 0.01 )"	"9 ( 0.66 )"	"3.58 ( 0.12 )"	10.42	0.72	0.65	9	3.58	"lasso"
500	1000	0.3	2	0.16	"0.85 ( 0 )"	"31.41 ( 1.51 )"	"0 ( 0 )"	36.41	0.8	0.85	31.41	0	"lasso"
1000	1000	0.3	1	0.17	"0.86 ( 0 )"	"28.41 ( 1.2 )"	"0 ( 0 )"	33.41	0.79	0.86	28.41	0	"lasso"
50	50	0.5	1	0.24	"0.69 ( 0.01 )"	"4.53 ( 0.29 )"	"2.89 ( 0.13 )"	6.64	0.48	0.69	4.53	2.89	"lasso"
100	50	0.5	0.5	0.32	"0.82 ( 0.01 )"	"7.11 ( 0.4 )"	"0.91 ( 0.09 )"	11.2	0.48	0.82	7.11	0.91	"lasso"
500	50	0.5	0.1	0.5	"0.89 ( 0 )"	"5.76 ( 0.24 )"	"0 ( 0 )"	10.76	0.41	0.89	5.76	0	"lasso"
1000	50	0.5	0.05	0.68	"0.9 ( 0 )"	"3.3 ( 0.16 )"	"0 ( 0 )"	8.3	0.25	0.9	3.3	0	"lasso"
50	100	0.5	2	0.19	"0.68 ( 0.01 )"	"5.12 ( 0.25 )"	"3.35 ( 0.1 )"	6.77	0.57	0.68	5.12	3.35	"lasso"
100	100	0.5	1	0.29	"0.8 ( 0.01 )"	"8.11 ( 0.47 )"	"1.32 ( 0.1 )"	11.79	0.54	0.8	8.11	1.32	"lasso"
500	100	0.5	0.2	0.34	"0.89 ( 0 )"	"10.67 ( 0.37 )"	"0 ( 0 )"	15.67	0.59	0.89	10.67	0	"lasso"
1000	100	0.5	0.1	0.55	"0.9 ( 0 )"	"5.3 ( 0.23 )"	"0 ( 0 )"	10.3	0.38	0.9	5.3	0	"lasso"
50	500	0.5	10	0.06	"0.63 ( 0.01 )"	"9.49 ( 0.26 )"	"4.45 ( 0.08 )"	10.04	0.84	0.63	9.49	4.45	"lasso"
100	500	0.5	5	0.2	"0.72 ( 0.01 )"	"9.62 ( 0.69 )"	"2.61 ( 0.12 )"	12.01	0.63	0.72	9.62	2.61	"lasso"
500	500	0.5	1	0.18	"0.89 ( 0 )"	"27.04 ( 0.99 )"	"0 ( 0 )"	32.04	0.79	0.89	27.04	0	"lasso"
1000	500	0.5	0.5	0.25	"0.9 ( 0 )"	"17.99 ( 0.68 )"	"0 ( 0 )"	22.99	0.71	0.9	17.99	0	"lasso"
50	1000	0.5	20	0.05	"0.63 ( 0.01 )"	"11.31 ( 0.3 )"	"4.54 ( 0.09 )"	11.77	0.87	0.63	11.31	4.54	"lasso"
100	1000	0.5	10	0.16	"0.7 ( 0.01 )"	"10.35 ( 0.82 )"	"3.02 ( 0.12 )"	12.33	0.68	0.7	10.35	3.02	"lasso"
500	1000	0.5	2	0.15	"0.88 ( 0 )"	"34.48 ( 1.42 )"	"0 ( 0 )"	39.48	0.82	0.88	34.48	0	"lasso"
1000	1000	0.5	1	0.19	"0.89 ( 0 )"	"25.24 ( 1.1 )"	"0 ( 0 )"	30.24	0.77	0.89	25.24	0	"lasso"
50	50	0.7	1	0.27	"0.72 ( 0.01 )"	"3.87 ( 0.24 )"	"2.98 ( 0.11 )"	5.89	0.42	0.72	3.87	2.98	"lasso"
100	50	0.7	0.5	0.34	"0.82 ( 0.01 )"	"7.43 ( 0.37 )"	"0.6 ( 0.08 )"	11.83	0.49	0.82	7.43	0.6	"lasso"
500	50	0.7	0.1	0.49	"0.91 ( 0 )"	"5.84 ( 0.26 )"	"0 ( 0 )"	10.84	0.42	0.91	5.84	0	"lasso"
1000	50	0.7	0.05	0.71	"0.92 ( 0 )"	"3.03 ( 0.15 )"	"0 ( 0 )"	8.03	0.23	0.92	3.03	0	"lasso"
50	100	0.7	2	0.21	"0.69 ( 0.01 )"	"5.07 ( 0.25 )"	"3.13 ( 0.1 )"	6.94	0.55	0.69	5.07	3.13	"lasso"
100	100	0.7	1	0.28	"0.82 ( 0.01 )"	"9.65 ( 0.48 )"	"0.97 ( 0.1 )"	13.68	0.59	0.82	9.65	0.97	"lasso"
500	100	0.7	0.2	0.36	"0.91 ( 0 )"	"10.19 ( 0.37 )"	"0 ( 0 )"	15.19	0.58	0.91	10.19	0	"lasso"
1000	100	0.7	0.1	0.59	"0.92 ( 0 )"	"4.81 ( 0.19 )"	"0 ( 0 )"	9.81	0.37	0.92	4.81	0	"lasso"
50	500	0.7	10	0.09	"0.66 ( 0.01 )"	"9.13 ( 0.25 )"	"4.14 ( 0.08 )"	9.99	0.81	0.66	9.13	4.14	"lasso"
